iter	Passed	Remaining
0	35	5344
1	54	4026
2	71	3512
3	89	3268
4	106	3096
5	123	2971
6	141	2893
7	160	2851
8	179	2805
9	197	2762
10	214	2705
11	231	2657
12	247	2608
13	265	2575
14	281	2537
15	298	2501
16	315	2467
17	332	2435
18	349	2409
19	367	2385
20	384	2364
21	402	2342
22	419	2316
23	436	2293
24	454	2271
25	472	2252
26	489	2227
27	506	2206
28	523	2185
29	540	2162
30	557	2139
31	575	2122
32	591	2098
33	608	2076
34	625	2055
35	642	2033
36	658	2012
37	690	2035
38	707	2014
39	724	1992
40	741	1970
41	757	1948
42	774	1927
43	791	1906
44	808	1886
45	825	1866
46	842	1845
47	858	1825
48	876	1806
49	893	1786
50	911	1768
51	931	1756
52	951	1741
53	971	1726
54	992	1715
55	1013	1700
56	1032	1684
57	1051	1668
58	1070	1650
59	1088	1632
60	1105	1613
61	1122	1593
62	1139	1573
63	1157	1554
64	1175	1536
65	1192	1517
66	1209	1497
67	1225	1478
68	1243	1459
69	1260	1440
70	1304	1451
71	1328	1438
72	1346	1420
73	1364	1401
74	1382	1382
75	1400	1364
76	1417	1344
77	1435	1324
78	1451	1304
79	1468	1285
80	1485	1265
81	1503	1247
82	1520	1227
83	1537	1207
84	1554	1188
85	1572	1170
86	1590	1151
87	1607	1132
88	1623	1112
89	1640	1093
90	1657	1074
91	1675	1056
92	1692	1037
93	1710	1018
94	1726	999
95	1743	980
96	1761	962
97	1778	943
98	1796	925
99	1813	906
100	1830	887
101	1847	869
102	1863	850
103	1880	831
104	1898	813
105	1915	795
106	1932	776
107	1949	757
108	1966	739
109	1983	721
110	2002	703
111	2019	685
112	2035	666
113	2052	648
114	2069	629
115	2086	611
116	2105	593
117	2122	575
118	2139	557
119	2156	539
120	2174	521
121	2192	503
122	2210	485
123	2227	467
124	2244	448
125	2261	430
126	2278	412
127	2295	394
128	2312	376
129	2329	358
130	2346	340
131	2363	322
132	2380	304
133	2397	286
134	2415	268
135	2431	250
136	2448	232
137	2465	214
138	2482	196
139	2500	178
140	2517	160
141	2534	142
142	2551	124
143	2568	107
144	2585	89
145	2602	71
146	2619	53
147	2636	35
148	2653	17
149	2670	0
